ID,Disease Name,Category,Symptom Description,Leaf Color,Spots Present,Humidity (%),Temperature (°C),Soil pH,Cause
51,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,79.5,34.5,4.9,Chemical
52,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,71.0,21.4,7.0,Chemical
53,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,54.2,33.5,5.2,Fungus
54,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,59.0,17.1,4.7,Deficiency
55,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,47.1,30.5,7.4,Fungus
56,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,56.4,29.3,5.0,Bacteria
57,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,40.2,21.8,7.0,Fungus
58,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,81.5,32.1,4.7,Chemical
59,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,86.5,21.1,4.8,Fungus
60,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,63.2,34.8,4.8,Environmental
61,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,46.2,32.3,5.2,Virus
62,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,71.2,16.2,5.8,Environmental
63,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,50.6,26.3,5.8,Bacteria
64,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,65.8,30.9,5.7,Fungus
65,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,67.1,20.5,7.0,Chemical
66,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,58.5,33.3,7.3,Chemical
67,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,80.7,26.3,4.9,Virus
68,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,41.2,34.0,5.6,Bacteria
69,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,54.4,18.4,4.9,Environmental
70,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,83.0,25.9,6.1,Fungus
71,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,65.7,28.7,5.2,Virus
72,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,89.5,16.8,7.0,Environmental
73,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,76.9,32.0,4.7,Fungus
74,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,52.1,25.8,6.3,Fungus
75,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,46.2,30.5,5.7,Fungus
76,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,72.1,17.4,7.3,Bacteria
77,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,56.0,17.5,6.1,Virus
78,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,65.9,28.9,5.9,Deficiency
79,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,67.5,21.5,5.7,Environmental
80,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,57.2,21.9,6.1,Bacteria
81,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,68.2,23.5,4.7,Virus
82,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,63.0,28.6,5.8,Fungus
83,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,77.9,28.6,6.6,Deficiency
84,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,69.3,34.5,6.6,Chemical
85,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,61.0,26.4,7.3,Bacteria
86,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,62.2,31.7,5.5,Environmental
87,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,45.3,22.5,6.5,Bacteria
88,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,43.8,27.6,6.0,Fungus
89,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,61.6,16.5,6.4,Bacteria
90,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,55.6,26.2,6.0,Chemical
91,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,43.8,23.7,5.8,Environmental
92,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,67.9,30.5,5.7,Deficiency
93,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,89.6,27.9,5.2,Fungus
94,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,51.0,30.5,7.4,Virus
95,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,88.8,30.9,4.7,Deficiency
96,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,80.0,24.8,7.5,Chemical
97,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,73.2,27.4,7.1,Deficiency
98,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,50.3,32.9,5.5,Fungus
99,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,86.9,19.8,5.0,Fungus
100,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,64.1,18.2,5.7,Fungus
101,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,74.9,27.5,7.0,Chemical
102,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,61.4,19.6,5.2,Fungus
103,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,44.7,21.4,6.7,Environmental
104,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,58.4,25.0,5.9,Deficiency
105,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,62.7,16.6,5.7,Fungus
106,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,77.4,21.6,6.3,Fungus
107,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,51.0,17.6,6.4,Fungus
108,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,42.5,22.3,6.4,Fungus
109,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,76.0,19.0,6.6,Deficiency
110,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,51.8,32.7,6.1,Virus
111,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,64.7,26.3,4.8,Virus
112,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,83.7,20.2,7.5,Environmental
113,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,73.0,28.0,4.6,Bacteria
114,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,50.8,29.7,6.9,Bacteria
115,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,89.9,20.2,6.5,Fungus
116,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,53.0,26.3,6.0,Fungus
117,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,80.9,33.7,5.9,Environmental
118,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,74.5,24.8,6.5,Fungus
119,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,62.1,25.7,4.6,Bacteria
120,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,49.7,19.3,5.7,Fungus
121,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,42.1,19.6,6.7,Fungus
122,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,77.1,33.3,7.2,Fungus
123,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,49.5,22.9,5.1,Fungus
124,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,76.7,24.4,5.7,Fungus
125,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,87.5,26.4,5.4,Virus
126,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,82.9,32.9,4.6,Virus
127,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,53.6,23.2,6.0,Deficiency
128,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,72.9,33.9,4.8,Environmental
129,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,59.3,29.4,6.9,Fungus
130,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,45.8,25.0,6.5,Fungus
131,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,80.9,23.8,7.4,Bacteria
132,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,50.9,17.0,5.5,Deficiency
133,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,41.0,16.2,5.8,Fungus
134,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,58.2,27.4,5.0,Deficiency
135,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,81.0,24.6,6.4,Environmental
136,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,72.2,17.2,5.1,Fungus
137,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,56.7,27.3,4.7,Environmental
138,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,40.0,29.1,7.4,Environmental
139,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,81.2,29.5,5.7,Deficiency
140,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,75.9,16.9,4.9,Deficiency
141,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,68.9,16.5,6.0,Environmental
142,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,63.6,33.0,7.1,Deficiency
143,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,80.0,30.4,7.4,Fungus
144,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,43.9,22.1,4.7,Virus
145,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,83.4,24.4,7.0,Deficiency
146,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,41.4,23.9,6.0,Fungus
147,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,58.3,31.2,6.2,Virus
148,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,55.7,24.8,6.6,Virus
149,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,78.7,27.5,5.8,Fungus
150,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,51.5,19.8,5.5,Virus
151,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,48.7,33.3,4.7,Fungus
152,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,78.5,28.3,6.8,Environmental
153,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,75.9,33.8,4.6,Virus
154,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,70.2,28.4,6.2,Fungus
155,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,47.3,15.2,5.7,Fungus
156,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,83.7,25.8,4.6,Environmental
157,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,52.4,29.3,6.2,Bacteria
158,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,50.7,16.1,4.8,Virus
159,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,48.7,19.8,6.1,Deficiency
160,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,88.4,18.8,5.8,Bacteria
161,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,88.3,22.0,5.5,Virus
162,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,84.6,32.3,6.6,Fungus
163,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,63.9,24.9,6.1,Fungus
164,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,89.4,28.8,5.6,Virus
165,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,60.4,17.4,7.3,Bacteria
166,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,41.1,22.5,4.9,Environmental
167,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,72.2,33.6,7.1,Fungus
168,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,71.0,17.6,6.8,Environmental
169,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,41.1,19.5,6.9,Virus
170,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,83.7,18.3,6.7,Chemical
171,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,77.0,25.2,5.7,Chemical
172,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,58.7,20.8,7.4,Fungus
173,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,71.6,24.3,6.3,Virus
174,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,56.8,15.5,6.4,Environmental
175,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,59.4,17.1,6.3,Fungus
176,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,48.9,23.9,4.5,Fungus
177,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,89.1,34.3,5.9,Virus
178,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,49.2,34.1,4.8,Fungus
179,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,70.0,25.3,4.7,Fungus
180,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,52.3,20.9,6.2,Fungus
181,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,67.9,28.1,5.9,Deficiency
182,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,70.7,27.3,6.8,Virus
183,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,56.8,32.6,6.3,Fungus
184,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,63.7,31.8,6.1,Fungus
185,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,62.8,28.6,6.1,Fungus
186,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,42.7,28.7,6.8,Bacteria
187,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,54.6,25.5,7.0,Environmental
188,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,67.7,25.8,6.7,Virus
189,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,41.1,31.2,4.7,Virus
190,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,68.2,24.7,4.8,Environmental
191,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,86.1,27.5,5.3,Fungus
192,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,50.4,24.5,4.6,Fungus
193,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,77.4,32.3,7.4,Environmental
194,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,70.7,30.2,4.9,Virus
195,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,63.8,31.1,6.4,Fungus
196,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,66.4,20.1,5.8,Chemical
197,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,57.2,23.9,4.6,Bacteria
198,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,89.6,22.7,5.4,Bacteria
199,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,70.0,19.7,4.6,Fungus
200,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,51.5,23.7,5.3,Fungus
201,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,75.6,28.1,5.3,Virus
202,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,75.1,26.9,7.1,Environmental
203,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,76.9,21.8,6.7,Fungus
204,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,86.0,19.4,6.9,Environmental
205,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,52.7,24.7,6.2,Deficiency
206,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,67.8,17.8,5.7,Chemical
207,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,67.8,28.4,6.3,Fungus
208,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,40.7,31.3,5.8,Bacteria
209,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,65.9,20.2,5.1,Fungus
210,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,83.3,17.7,6.7,Virus
211,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,83.8,24.1,4.7,Environmental
212,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,72.8,20.1,6.2,Deficiency
213,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,50.1,19.4,6.6,Virus
214,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,60.7,30.4,5.2,Deficiency
215,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,86.5,22.6,4.8,Fungus
216,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,52.7,33.1,4.8,Chemical
217,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,66.3,20.6,5.3,Fungus
218,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,75.8,26.4,6.3,Fungus
219,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,73.5,22.6,6.8,Chemical
220,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,77.3,17.4,5.3,Fungus
221,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,65.1,21.9,4.8,Chemical
222,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,70.0,23.3,6.7,Fungus
223,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,52.8,23.8,5.7,Environmental
224,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,76.6,22.2,6.9,Environmental
225,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,74.0,29.1,4.8,Fungus
226,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,44.6,29.5,5.3,Chemical
227,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,58.3,21.3,6.6,Deficiency
228,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,64.6,23.5,6.4,Fungus
229,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,44.5,25.1,6.2,Bacteria
230,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,84.4,20.5,5.5,Virus
231,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,72.2,24.5,6.7,Fungus
232,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,87.8,23.0,7.2,Virus
233,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,53.0,23.9,5.8,Chemical
234,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,47.4,22.0,5.9,Fungus
235,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,53.2,23.5,5.9,Virus
236,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,80.1,23.5,4.6,Virus
237,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,59.4,34.3,5.2,Chemical
238,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,56.6,28.2,5.2,Deficiency
239,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,54.8,16.9,4.6,Environmental
240,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,67.5,30.3,5.2,Deficiency
241,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,76.4,30.5,5.6,Deficiency
242,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,46.1,32.7,5.9,Virus
243,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,66.6,28.8,6.0,Virus
244,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,80.2,25.7,5.5,Deficiency
245,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,73.6,25.1,7.0,Environmental
246,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,79.3,17.8,7.4,Environmental
247,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,75.6,18.2,5.9,Deficiency
248,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,58.8,24.1,6.6,Deficiency
249,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,66.8,32.0,6.5,Fungus
